Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"José Soriano ","LAA","SP",339.1700134277344,177.273,-4.404570763269932,-27.360647137661196,6.3764359325598745,-3.6133003157638446,-29.002082284135096,17.438467205185578,-10.56361507894952,"Jose Soriano","22100",667755
"Keider Montero ","DET","SP",743.9199829101562,87.3239,-13.246147934085489,-11.420630637066692,-2.9806768915930464,-1.366747696475559,-29.014203159220788,17.438467205185578,-10.575735954035212,"Keider Montero","22630",672456
"Daniel Lynch IV ","KCR","RP",999,59,-6.433752623190695,-6.922283612003904,-5.758114861906692,3.416512906891112,-15.69763819021018,4.116523579825635,-10.581114610384544,"Daniel Lynch IV","21537",663738
"Lake Bachar ","MIA","RP",999,56,-6.845481708913728,-6.83676473936518,-4.949069653463601,2.8954216414547775,-15.735894460287735,4.116523579825635,-10.6193708804621,"Lake Bachar","19222",669199
"Jackson Rutledge ","WSN","RP",749.8300170898438,55,-7.100389090124943,-6.243890031519546,-5.538568581760855,3.1175011568360707,-15.76534654656927,4.116523579825635,-10.648822966743639,"Jackson Rutledge","26215",671131
"Will Warren ","NYY","SP",328.25,137.902,-12.5954714694163,-12.542266066828189,3.2655887857776196,-7.2238754624780785,-29.096024212944947,17.438467205185578,-10.65755700775937,"Will Warren","30182",701542
"Brad Keller ","PHI","RP",532.219970703125,68,-5.379671783846744,-9.040420212916532,-4.299153853701287,2.8840692867079976,-15.835176563756566,4.116523579825635,-10.71865298393093,"Brad Keller","15734",641745
"Hunter Bigge ","TBR","RP",742.5,46,-6.914858069581159,-6.8636383481878696,-5.845480173133819,3.7675219912003426,-15.856454599702506,4.116523579825635,-10.73993101987687,"Hunter Bigge","26259",685801
"Konnor Pilkington ","WSN","RP",999,57,-5.06665750364053,-9.639171900989664,-4.873563814203386,3.7098484795727638,-15.869544739260819,4.116523579825635,-10.753021159435184,"Konnor Pilkington","21453",663455
"Ryan Thompson ","ARI","RP",737.780029296875,62,-6.150878551497656,-8.651880951248055,-5.369239612699422,4.2996615537557465,-15.872337561689388,4.116523579825635,-10.755813981863753,"Ryan Thompson","16647",657044
"Rico Garcia ","BAL","RP",999,53,-7.091590605112634,-6.512588540379201,-5.085473718997518,2.8046032384699924,-15.885049626019361,4.116523579825635,-10.768526046193726,"Rico Garcia","20023",670329
"Parker Messick ","CLE","SP",308.94000244140625,129.165,-11.894587583179625,-13.689765416028017,1.2126797387853454,-4.861045812483925,-29.23271907290622,17.438467205185578,-10.794251867720641,"Parker Messick","31986",800048
"Luis Gil ","NYY","SP",371.25,102.47,-12.885023706675716,-12.993081492135742,0.4417769133268768,-3.851530119559516,-29.287858405044094,17.438467205185578,-10.849391199858516,"Luis Gil","21052",661563
"Mason Englert ","TBR","RP",999,60,-7.424462700180276,-5.834734066064339,-4.956480796995828,2.1490075792749,-16.066669983965543,4.116523579825635,-10.950146404139907,"Mason Englert","22288",669438
"Kohl Drake ","ARI","RP",999,52.936,-6.665280408033818,-7.453741046722788,-5.729423221708457,3.773761914904939,-16.074682761560126,4.116523579825635,-10.958159181734493,"Kohl Drake","sa3021723",684442
"Matt Pushard ","STL","RP",999,52,-6.713823345466523,-7.154216907158832,-5.987983094029533,3.68927217347318,-16.16675117318171,4.116523579825635,-11.050227593356073,"Matt Pushard","sa3019955",690155
"Sam Bachman ","LAA","RP",999,42,-5.986098199830671,-8.81081479835493,-6.808765382843187,5.414215019897046,-16.19146336113174,4.116523579825635,-11.074939781306107,"Sam Bachman","29754",696147
"Charlie Morton ",,"SP",999,86.3728,-12.646037180832796,-14.619419691637761,-1.882678810133168,-0.3672028317949112,-29.515338514398636,17.438467205185578,-11.07687130921306,"Charlie Morton","4676",450203
"Beau Brieske ","DET","RP",999,50,-6.827544462983715,-7.417542003605479,-5.875524377331313,3.826513520870788,-16.294097323049716,4.116523579825635,-11.177573743224082,"Beau Brieske","26079",689225
"Grant Holman ","ATH","RP",999,42,-6.62908100194626,-7.895134727280313,-6.767045489587034,4.967217682953039,-16.32404353586057,4.116523579825635,-11.207519956034938,"Grant Holman","30002",680880
"Jordan Montgomery ",,"SP",749.8599853515625,90.5982,-12.974772592358926,-12.126864911011934,-3.4916465562755685,-1.1051537391754416,-29.69843779882187,17.438467205185578,-11.259970593636293,"Jordan Montgomery","16511",656756
"Bradgley Rodriguez ","SDP","RP",999,50,-5.800605141260584,-9.29456654444931,-5.8285873956455205,4.530965020489842,-16.39279406086557,4.116523579825635,-11.276270481039937,"Bradgley Rodriguez","29107",699134
"Dan Altavilla ","MIN","RP",999,40,-6.411085010444259,-8.76790502247593,-6.886577111060798,5.633760286724629,-16.43180685725636,4.116523579825635,-11.315283277430726,"Dan Altavilla","16507",656186
"Janson Junk ","MIA","SP",598.9199829101562,96.921,-14.987545235244502,-8.541185978904743,-3.463508219939419,-2.7660496085050337,-29.7582890425937,17.438467205185578,-11.319821837408119,"Janson Junk","23301",676083
"Joey Cantillo ","CLE","SP",274.7200012207031,148.827,-10.496320339786536,-17.533028165986376,5.003651121062446,-6.749992732406849,-29.775690117117318,17.438467205185578,-11.337222911931741,"Joey Cantillo","23335",676282
"Max Meyer ","MIA","SP",408.25,151.11,-13.357622920278201,-13.049135705336846,3.814730551532054,-7.191078997672798,-29.78310707175579,17.438467205185578,-11.344639866570216,"Max Meyer","27474",676974
"Nate Pearson ","HOU","RP",750.1400146484375,54,-7.468065596724336,-7.132405563681842,-4.966803140000298,3.0624628113153194,-16.504811489091157,4.116523579825635,-11.388287909265523,"Nate Pearson","20160",663878
"AJ Blubaugh ","HOU","RP",568,53.0042,-7.594718114450965,-6.49695395427507,-5.460233658795915,2.8738735689169883,-16.67803215860496,4.116523579825635,-11.561508578779327,"AJ Blubaugh","31764",805123
"Zach Pop ","PHI","RP",999,52,-5.90175731535871,-9.031577686562478,-6.331345874603712,4.585293898212601,-16.679386978312298,4.116523579825635,-11.562863398486662,"Zach Pop","20185",647315
"Zach McCambley ","PHI","RP",999,48,-6.494743499236534,-8.547771765185873,-5.9761642889189135,4.312838254268791,-16.705841299072528,4.116523579825635,-11.589317719246894,"Zach McCambley","sa3014478",685112
"Tyler Ferguson ","ATH","RP",999,52,-6.545981414379745,-8.819111742888671,-5.281566562857835,3.931725289868916,-16.714934430257333,4.116523579825635,-11.5984108504317,"Tyler Ferguson","19481",621053
"Peyton Pallette ","CLE","RP",999,48,-7.201599122551888,-7.557212967976911,-5.945668839027535,3.9187512944410114,-16.78572963511532,4.116523579825635,-11.669206055289688,"Peyton Pallette","sa3020742",688883
"Enyel De Los Santos ","HOU","RP",999,60,-7.7886424217484045,-6.561619388075981,-4.500536126072153,2.0030494782267936,-16.84774845766974,4.116523579825635,-11.73122487784411,"Enyel De Los Santos","18403",660853
"Taj Bradley ","MIN","SP",410.5299987792969,132.743,-14.735944263192032,-11.75863495214522,2.97934104075935,-6.672768184820623,-30.188006359398525,17.438467205185578,-11.749539154212949,"Taj Bradley","22543",671737
"Jon Gray ",,"SP",999,89.9684,-14.548091465349522,-10.907694508418517,-2.6268486519624377,-2.1220860022750596,-30.204720628005536,17.438467205185578,-11.766253422819958,"Jon Gray","14916",592351
"Ben Casparius ","LAD","RP",735.6900024414062,52,-8.173933310966234,-5.695325830210399,-5.497361325510493,2.471737564249205,-16.89488290243792,4.116523579825635,-11.778359322612285,"Ben Casparius","30085",676508
"Zack Kelly ","BOS","RP",999,56,-6.778862443353122,-9.116644704400906,-4.85962329407109,3.814958461038868,-16.940171980786253,4.116523579825635,-11.823648400960618,"Zack Kelly","20349",677161
"Jacob Webb ","CHC","RP",999,54,-7.689148371168587,-6.828437899930936,-5.345458104371297,2.8544721693302044,-17.008572206140617,4.116523579825635,-11.892048626314981,"Jacob Webb","19274",657097
"Kendall Graveman ",,"RP",999,44,-6.3809730037552335,-9.335991540573655,-6.537679336728445,5.221428564265836,-17.0332153167915,4.116523579825635,-11.916691736965866,"Kendall Graveman","15514",608665
"Eric Orze ","MIN","RP",742.1699829101562,60,-6.4865129730311,-9.516083567712444,-4.584334484769287,3.54777401928762,-17.03915700622521,4.116523579825635,-11.922633426399576,"Eric Orze","27626",679358
"Chase Shugart ","PHI","RP",999,42,-7.461049758765054,-6.908018372469435,-6.970795824282132,4.273308152729656,-17.066555802786965,4.116523579825635,-11.95003222296133,"Chase Shugart","21544",663767
"Carlos Rodriguez ","MIL","RP",999,52.2819,-7.969470639976618,-6.16452888718662,-5.601117334961668,2.6109672484368938,-17.124149613688015,4.116523579825635,-12.00762603386238,"Carlos Rodriguez","30161",692230
